semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Pendaftaran Gelombang 1 (Online) | tanggal_mulai: 01 Agustus 2025 | tanggal_selesai: 26 September 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Ujian Tulis Berbasis Komputer | tanggal_mulai: 02 Oktober 2025 | tanggal_selesai: 02 Oktober 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Tes Bidang di Program Studi Masing-masing | tanggal_mulai: 03 Oktober 2025 | tanggal_selesai: 03 Oktober 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Rapat Penentuan keluJusan | tanggal_mulai: 08 Oktober 2025 | tanggal_selesai: 08 Oktober 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Pengumuman Kelulusan Gelombang 1 | tanggal_mulai: 13 Oktober 2025 | tanggal_selesai: 13 Oktober 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Pendaftaran Gelombang 2 (Online) | tanggal_mulai: 09 Oktober 2025 | tanggal_selesai: 05 Desember 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Ujian Tulis Berbasis Komputer | tanggal_mulai: 11 Desember 2025 | tanggal_selesai: 11 Desember 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Tes Bidang di Program Studi Masing-rnasing | tanggal_mulai: 12 Desember 2025 | tanggal_selesai: 12 Desember 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Rapat Penentuan kelulusan | tanggal_mulai: 18 Desember 2025 | tanggal_selesai: 18 Desember 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Pengumuman Kelulusan Gelombang 2 | tanggal_mulai: 24 Desember 2025 | tanggal_selesai: 24 Desember 2025 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Pendaftaran Ulang | tanggal_mulai: 30 Desember 2025 | tanggal_selesai: 12 Januari 2026 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Pascasarjana | kegiatan: Update biodata dan Pembayaran SPP | tanggal_mulai: 30 Desember 2025 | tanggal_selesai: 12 Januari 2026 | halaman: 5
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Profesi | kegiatan: Pendaftaran Gelombang 1 (Online) | tanggal_mulai: 01 Agustus 2025 | tanggal_selesai: 26 September 2025 | halaman: 6
