semester: Genap | kategori: PMB Pascasarjana Gelombang 1 | kegiatan: Pendaftaran | tanggal_mulai: 01 Agustus 2026 | tanggal_selesai: 25 September 2026 | halaman: 4
semester: Ganjil | kategori: Perkuliahan dan Pembelajaran | kegiatan: Masa Pembayaran SPP/UKT | tanggal_mulai: 01 Juli 2026 | tanggal_selesai: 18 Juli 2026 | halaman: 3
semester: Ganjil | kategori: Perkuliahan dan Pembelajaran | kegiatan: Masa Pengajuan Permohonan Cuti Akademik | tanggal_mulai: 01 Juli 2026 | tanggal_selesai: 24 Agustus 2026 | halaman: 3
semester: Ganjil | kategori: Jalur Penerimaan UTBK-SNBT | kegiatan: Pendaftaran Ulang | tanggal_mulai: 01 Juni 2026 | tanggal_selesai: 13 Juni 2026 | halaman: 1
semester: Ganjil | kategori: Jalur Penerimaan UTBK-SNBT | kegiatan: Update biodata dan Upload Dokumen | tanggal_mulai: 01 Juni 2026 | tanggal_selesai: 05 Juni 2026 | halaman: 1
semester: Ganjil | kategori: Jalur Penerimaan UTBK-SNBT | kegiatan: Verifikasi Dokumen Akademik dan UKT | tanggal_mulai: 01 Juni 2026 | tanggal_selesai: 05 Juni 2026 | halaman: 1
semester: Ganjil | kategori: Kukerta, Wisuda & Dies Natalis | kegiatan: DIES NATALIS | tanggal_mulai: 01 Oktober 2026 | tanggal_selesai: - | halaman: 3
semester: Genap | kategori: PMB Pascasarjana Gelombang 1 | kegiatan: Pelaksanaan UTBK Pascasarjana | tanggal_mulai: 01 Oktober 2026 | tanggal_selesai: - | halaman: 4
semester: Ganjil | kategori: Perkuliahan dan Pembelajaran | kegiatan: Verifikasi Data Status Mahasiswa | tanggal_mulai: 1-Sep-26 | tanggal_selesai: 04 September 2026 | halaman: 3
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Pembatalan KRS Tanpa penggantian Matakuliah | tanggal_mulai: 02 Februari 2027 | tanggal_selesai: 14 Febuari 2027 | halaman: 4
semester: Ganjil | kategori: Jalur SMM-PTN Barat | kegiatan: Pendaftaran Ulang | tanggal_mulai: 02 Juli 2026 | tanggal_selesai: 13 Juli 2026 | halaman: 1
semester: Ganjil | kategori: Jalur SMM-PTN Barat | kegiatan: Update biodata dan Upload Dokumen | tanggal_mulai: 02 Juli 2026 | tanggal_selesai: 05 Juli 2026 | halaman: 1
